CbTagName;date;ed
CB First Floor;20/01/2019;65
CB First Floor;21/01/2019;86
CB First Floor;22/01/2019;89
CB First Floor;23/01/2019;86
CB First Floor;24/01/2019;85
CB First Floor;25/01/2019;82
CB First Floor;26/01/2019;62
CB First Floor;27/01/2019;73
CB First Floor;28/01/2019;84
CB First Floor;29/01/2019;87
CB First Floor;30/01/2019;88
CB First Floor;31/01/2019;85
CB First Floor;01/02/2019;98
CB First Floor;02/02/2019;65
CB First Floor;03/02/2019;55
CB First Floor;04/02/2019;85
CB First Floor;05/02/2019;91
CB First Floor;06/02/2019;91
CB First Floor;07/02/2019;90
CB First Floor;08/02/2019;89
CB First Floor;09/02/2019;71
CB First Floor;10/02/2019;57
CB First Floor;11/02/2019;91
CB First Floor;12/02/2019;95
CB First Floor;13/02/2019;91
CB First Floor;14/02/2019;86
CB First Floor;15/02/2019;82
CB First Floor;16/02/2019;62
CB First Floor;17/02/2019;62
CB First Floor;18/02/2019;80
CB First Floor;19/02/2019;83
CB First Floor;20/02/2019;78
CB First Floor;21/02/2019;81
CB First Floor;22/02/2019;80
CB First Floor;23/02/2019;67
CB First Floor;24/02/2019;69
CB First Floor;25/02/2019;83
CB First Floor;26/02/2019;83
CB First Floor;27/02/2019;82
CB First Floor;28/02/2019;80
CB First Floor;01/03/2019;72
CB First Floor;02/03/2019;61
CB First Floor;03/03/2019;61
CB First Floor;04/03/2019;74
CB First Floor;05/03/2019;80
CB First Floor;06/03/2019;76
CB First Floor;07/03/2019;69
CB First Floor;08/03/2019;65
CB First Floor;09/03/2019;53
CB First Floor;10/03/2019;50
CB First Floor;11/03/2019;75
CB First Floor;12/03/2019;79
CB First Floor;13/03/2019;78
CB First Floor;14/03/2019;77
CB First Floor;15/03/2019;73
CB First Floor;16/03/2019;54
CB First Floor;17/03/2019;49
CB First Floor;18/03/2019;72
CB First Floor;19/03/2019;75
CB First Floor;20/03/2019;76
CB First Floor;21/03/2019;78
CB First Floor;22/03/2019;76
CB First Floor;23/03/2019;58
CB First Floor;24/03/2019;55
CB First Floor;25/03/2019;70
CB First Floor;26/03/2019;72
CB First Floor;27/03/2019;70
CB First Floor;28/03/2019;69
CB First Floor;29/03/2019;69
CB First Floor;30/03/2019;56
CB First Floor;31/03/2019;55
